time,Alt,Mach,heat_load,Wgt_On_Whl,Aircraft_state
316.0,10000.0,1.2,4000.0,0.0,4.0
318.0,10000.0,1.2,4000.0,0.0,4.0
320.0,10000.0,1.2,4000.0,0.0,4.0
322.0,10000.0,1.2,4000.0,0.0,4.0
324.0,10000.0,1.2,4000.0,0.0,4.0
326.0,10000.0,1.2,4000.0,0.0,4.0
328.0,10000.0,1.2,4000.0,0.0,4.0
330.0,10000.0,1.2,4000.0,0.0,4.0
332.0,10000.0,1.2,4000.0,0.0,4.0
334.0,10000.0,1.2,4000.0,0.0,4.0
336.0,10000.0,1.2,4000.0,0.0,4.0
338.0,10000.0,1.2,4000.0,0.0,4.0
340.0,10000.0,1.2,4000.0,0.0,4.0
342.0,10000.0,1.2,4000.0,0.0,4.0
344.0,10000.0,1.2,4000.0,0.0,4.0
346.0,10000.0,1.2,4000.0,0.0,4.0
348.0,10000.0,1.2,4000.0,0.0,4.0
350.0,10000.0,1.2,4000.0,0.0,4.0
352.0,10000.0,1.2,4000.0,0.0,4.0
354.0,10000.0,1.2,4000.0,0.0,4.0
356.0,10000.0,1.2,4000.0,0.0,4.0
358.0,10000.0,1.2,4000.0,0.0,4.0
360.0,10000.0,1.2,4000.0,0.0,4.0
362.0,10000.0,1.2,4000.0,0.0,4.0
364.0,10000.0,1.2,4000.0,0.0,4.0
366.0,10000.0,1.2,4000.0,0.0,4.0
368.0,10000.0,1.2,4000.0,0.0,4.0
370.0,10000.0,1.2,4000.0,0.0,4.0
372.0,10000.0,1.2,4000.0,0.0,4.0
374.0,10000.0,1.2,4000.0,0.0,4.0
376.0,10000.0,1.2,4000.0,0.0,4.0
378.0,10000.0,1.2,4000.0,0.0,4.0
380.0,10000.0,1.2,4000.0,0.0,4.0
382.0,10000.0,1.2,4000.0,0.0,4.0
384.0,10000.0,1.2,4000.0,0.0,4.0
386.0,10000.0,1.2,4000.0,0.0,4.0
388.0,10000.0,1.2,4000.0,0.0,4.0
390.0,10000.0,1.2,4000.0,0.0,4.0
392.0,10000.0,1.2,4000.0,0.0,4.0
394.0,10000.0,1.2,4000.0,0.0,4.0
396.0,10000.0,1.2,4000.0,0.0,4.0
398.0,10000.0,1.2,4000.0,0.0,4.0
400.0,10000.0,1.2,4000.0,0.0,4.0
402.0,10000.0,1.2,4000.0,0.0,4.0
404.0,10000.0,1.2,4000.0,0.0,4.0
406.0,10000.0,1.2,4000.0,0.0,4.0
408.0,10000.0,1.2,4000.0,0.0,4.0
410.0,10000.0,1.2,4000.0,0.0,4.0
412.0,10000.0,1.2,4000.0,0.0,4.0
414.0,10000.0,1.2,4000.0,0.0,4.0
416.0,10000.0,1.2,4000.0,0.0,4.0
418.0,10000.0,1.2,4000.0,0.0,4.0
420.0,10000.0,1.2,4000.0,0.0,4.0
422.0,10000.0,1.2,4000.0,0.0,4.0
424.0,10000.0,1.2,4000.0,0.0,4.0
426.0,10000.0,1.2,4000.0,0.0,4.0
428.0,10000.0,1.2,4000.0,0.0,4.0
430.0,10000.0,1.2,4000.0,0.0,4.0
432.0,10000.0,1.2,4000.0,0.0,4.0
434.0,10000.0,1.2,4000.0,0.0,4.0
436.0,10000.0,1.2,4000.0,0.0,4.0
438.0,10000.0,1.2,4000.0,0.0,4.0
440.0,10000.0,1.2,4000.0,0.0,4.0
442.0,10000.0,1.2,4000.0,0.0,4.0
444.0,10000.0,1.2,4000.0,0.0,4.0
446.0,10000.0,1.2,4000.0,0.0,4.0
448.0,10000.0,1.2,4000.0,0.0,4.0
450.0,10000.0,1.2,4000.0,0.0,4.0
452.0,10000.0,1.2,4000.0,0.0,4.0
454.0,10000.0,1.2,4000.0,0.0,4.0
456.0,10000.0,1.2,4000.0,0.0,4.0
458.0,10000.0,1.2,4000.0,0.0,4.0
460.0,10000.0,1.2,4000.0,0.0,4.0
462.0,10000.0,1.2,4000.0,0.0,4.0
464.0,10000.0,1.2,4000.0,0.0,4.0
466.0,10000.0,1.2,4000.0,0.0,4.0
468.0,10000.0,1.2,4000.0,0.0,4.0
470.0,10000.0,1.2,4000.0,0.0,4.0
472.0,10000.0,1.2,4000.0,0.0,4.0
474.0,10000.0,1.2,4000.0,0.0,4.0
476.0,10000.0,1.2,4000.0,0.0,4.0
478.0,10000.0,1.2,4000.0,0.0,4.0
480.0,10000.0,1.2,4000.0,0.0,4.0
482.0,10000.0,1.2,4000.0,0.0,4.0
484.0,10000.0,1.2,4000.0,0.0,4.0
486.0,10000.0,1.2,4000.0,0.0,4.0
488.0,10000.0,1.2,4000.0,0.0,4.0
490.0,10000.0,1.2,4000.0,0.0,4.0
492.0,10000.0,1.2,4000.0,0.0,4.0
494.0,10000.0,1.2,4000.0,0.0,4.0
